video_name,keywords,img_path,objects,metadata_fn,region,tag
Juezhannanjing,"government, military, politics, president, war, respect",MC-VCR_sample/0.jpg,"person, person, person",MC-VCR_sample/0.json,east-asia,"man, martial, monk, preacher, robe, stand, uniform, writing"
Juezhannanjing,"wedding, soldier, bride, groom, shy, luck",MC-VCR_sample/1.jpg,"person, suitcase, suitcase, person, person",MC-VCR_sample/1.json,east-asia,"trench coat, bureau, cloth, coat, jacket, luggage, man, red, robe, room, stack, stand, wear"
Juezhannanjing,"campaign, teacher, student, suggestion, revolt",MC-VCR_sample/2.jpg,"person, person, book, book, book, dining table, book, handbag",MC-VCR_sample/2.json,east-asia,"wand, table, person, man, scroll, stand, sword, woman"
A Little Reunion,"breakfast, office, wait, peddler, customer, cook",MC-VCR_sample/3.jpg,"person, person, person, person, bowl, person, bowl, tie, cup",MC-VCR_sample/3.json,east-asia,"cart, cook, crowded, food, food stand, person, man, stand, stool, street food, street vendor, vendor, woman"
A Little Reunion,"home, student, uniform, parents, breakfast, go to school",MC-VCR_sample/4.jpg,"person, person, person, chair, bowl, chair, potted plant, potted plant, dining table, bowl, vase, potted plant, frisbee, bowl",MC-VCR_sample/4.json,east-asia,"conversation, table, dinning table, food, person, man, room, sit, stool, woman"
A Little Reunion,"exam, score, school, high school, uniform, shy, praise",MC-VCR_sample/5.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, book, person, book, book, book, person",MC-VCR_sample/5.json,east-asia,"blue, bookcase, bookshelf, boy, child, choir, hand, library, prayer, student, school uniform, sing, stand, uniform, wear"
Red Sorghum,"market, goods, businessman, snack, soldier",MC-VCR_sample/6.jpg,"person, person, person, person, person",MC-VCR_sample/6.json,east-asia,"alley, catch, guard, person, man, stand, sun hat, sword, walk, wear"
Red Sorghum,"funeral, kitchen, mill, countryside",MC-VCR_sample/7.jpg,"person, person, bowl, dining table, bowl, pizza, bed, handbag",MC-VCR_sample/7.json,east-asia,"cinema, table, food, person, man, robe, room, scene, stand, stool, woman"
Red Sorghum,"wedding, groom, boss, subordinate",MC-VCR_sample/8.jpg,"person, person, person, person, person, person",MC-VCR_sample/8.json,east-asia,"actor, cinema, curtain, dress shirt, garment, man, red, shirt, stand, tie, wear"
Red Sorghum,"visit, servant, maid, drug, bedroom",MC-VCR_sample/9.jpg,"person, person, person, person, person, potted plant",MC-VCR_sample/9.json,east-asia,"boy, child, conversation, curtain, family, person, man, room, stand, woman"
Years of Passion,"regulation, license, sale, officers",MC-VCR_sample/10.jpg,"person, person, person, person, person, person, person, handbag, backpack",MC-VCR_sample/10.json,east-asia,"alley, boy, floor, person, man, pavement, stand, walk"
Years of Passion,"station, ticket, farewell",MC-VCR_sample/11.jpg,"person, person, person, person, person, train, person, person, person, person, person, person, person, person, umbrella",MC-VCR_sample/11.json,east-asia,"green, person, passenger, passenger train, railway station, sign, stand, station, subway, train, train car, walk, writing"
Wodeboshilaogong,"job, seek, competitor, resume, rush",MC-VCR_sample/12.jpg,"person, person, person, person, person, person, person",MC-VCR_sample/12.json,east-asia,"assembly, catch, crowd, crowded, demonstration, flag, person, laugh, man, paper, protest, protester, sign"
Wodeboshilaogong,"beijing, stadium, photo, camera, couple",MC-VCR_sample/13.jpg,"person, person, person, handbag, person, bench",MC-VCR_sample/13.json,east-asia,"building, conversation, couple, hand, person, man, night, night view, pedestrian bridge, rail, shake, shopping bag, stand, talk, woman"
Wodeboshilaogong,"massage, tired, relax, waitress",MC-VCR_sample/14.jpg,"person, person, person, potted plant, person, chair, cup, cup",MC-VCR_sample/14.json,east-asia,"person, lay, man, massage, relax, spa, stool, woman"
Let the Bullets Fly,"rob, countryside, gang",MC-VCR_sample/15.jpg,"person, person, person, person, person, person, person, person, person, person, person, person",MC-VCR_sample/15.json,east-asia,"shield, cheer, crowd, hand, person, leader, man"
Ordinary World,"drought, dry, house, children, grandpa, cave",MC-VCR_sample/16.jpg,"person, person, person, person",MC-VCR_sample/16.json,east-asia,"bend, boy, child, girl, person, man, pet, stand, warehouse, woman"
Ordinary World,"funeral, mourn, dead, family",MC-VCR_sample/17.jpg,"person, person",MC-VCR_sample/17.json,east-asia,"creek, couple, path, girl, person, lush, man, shovel, stand, woman"
Ordinary World,"bed, warm, smoke, beer, luck",MC-VCR_sample/18.jpg,"person, person, dining table, cup, dining table",MC-VCR_sample/18.json,east-asia,"conversation, table, dinning table, food, person, man, sit, tile wall"
Crime Scene2,"family, party, meal, respect, angry",MC-VCR_sample/19.jpg,"person, person, person, bowl, bowl, dining table, spoon, wineglass, person, wineglass, person, vase, bowl, bowl, cup, bowl, person, person, bowl, spoon, chair, bowl",MC-VCR_sample/19.json,east-asia,"table, dinner, dinner party, dinning table, family, feast, food, person, meal, platter, sit"
Crime Scene2,"police, policeman, discussion, case",MC-VCR_sample/20.jpg,"person, person, person",MC-VCR_sample/20.json,east-asia,"clipboard, conversation, jacket, man, office building, pen, room, stand, talk"
Empresses in the Palace,"ancient, forgive, servant, royalty, queen, apologize, palace",MC-VCR_sample/21.jpg,"person, person, person, person, person, person, person, person, person, person, person, person",MC-VCR_sample/21.json,east-asia,"building, costume, dress, garment, person, palace, red, robe, stand, temple, traditional, walk, wear, woman"
Empresses in the Palace,"dance, palace, party, servant, royalty, happy",MC-VCR_sample/22.jpg,"person, person, person, person, person, person, person, person, person, person, person",MC-VCR_sample/22.json,east-asia,"cloth, dance, dancer, dress, garment, girl, person, perform, pink, preacher, robe, traditional, veil, wear, woman"
Empresses in the Palace,"papercut, festival, servant, concubine, palace, royalty, luck, celebration",MC-VCR_sample/23.jpg,"person, person, person, person, person, person, person",MC-VCR_sample/23.json,east-asia,"actor, child, costume, dress, family, garment, geisha, girl, person, play, pose, stand, traditional, woman"
Juezhannanjing,"military, strategy, war, soldier, general, meeting",MC-VCR_sample/24.jpg,"person, person, person, person, person, person, chair, chair, cup, suitcase",MC-VCR_sample/24.json,east-asia,"table, dinning table, dress, food, person, man, meal, soldier, uniform, wear"
Juezhannanjing,"temple, buddist, religion, lovers, general, bless, luck, pray",MC-VCR_sample/25.jpg,"person, person, tie",MC-VCR_sample/25.json,east-asia,"army, conversation, drama, dress, garment, guard, person, man, officer, stand, uniform, vest, wear, woman"
Juezhannanjing,"breakfast, pancake, egg, cook, soldier, troop",MC-VCR_sample/26.jpg,"person, person, person, person, bowl, bowl, bowl, oven, potted plant, bowl",MC-VCR_sample/26.json,east-asia,"alley, cob, cook, food, person, man, pot, stool, street vendor, woman"
Like a Flowing River,"criticize, apologize, office, officer, slogan",MC-VCR_sample/27.jpg,"person, person, person, person, cup",MC-VCR_sample/27.json,east-asia,"lamp, bulletin board, classroom, conversation, table, person, man, room, stand, talk, woman, writing"
Like a Flowing River,"roommate, college, university, meal, dormitory",MC-VCR_sample/28.jpg,"person, person, cup, person, bottle, person, cup, person, cup, cup, dining table, bottle",MC-VCR_sample/28.json,east-asia,"beverage, bunk bed, chopstick, conversation, table, drink, food, person, man, sit, train car"
Like a Flowing River,"wedding, countryside, couple, villager, party",MC-VCR_sample/29.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, umbrella, person, chair, person, person, person",MC-VCR_sample/29.json,east-asia,"building, crowd, crowded, collect, gathering, hay, person, hut, man, stand, writing"
Like a Flowing River,"funeral, mourn, angry, cry, sadness",MC-VCR_sample/30.jpg,"person, person, person, person, person",MC-VCR_sample/30.json,east-asia,"adjust, business suit, person, man, tie"
Like a Flowing River,"funeral, mourn, comfort, cry, sadness",MC-VCR_sample/31.jpg,"person, person, person, person",MC-VCR_sample/31.json,east-asia,"conversation, laugh, man, stand, tie, wear, writing"
Like a Flowing River,"leisure, elders, play, mahjong, card",MC-VCR_sample/32.jpg,"person, person, person, person, person, person",MC-VCR_sample/32.json,east-asia,"board game, card game, chess, cigarette, conversation, table, domino, game, person, man, play, woman"
Like a Flowing River,"hospital, register, visit",MC-VCR_sample/33.jpg,"person, person, person, person, person, person, handbag, person, clock",MC-VCR_sample/33.json,east-asia,"building, bulletin board, classroom, doorway, hand, girl, person, pink, red, room, school, shirt, stand, talk, woman"
Like a Flowing River2,"wedding, restaurant, couple, waitress, friend, relative, party, celebration",MC-VCR_sample/34.jpg,"person, person, person, person, person, person, person, person, person, tie, potted plant, potted plant",MC-VCR_sample/34.json,east-asia,"building, business suit, businessman, conversation, doorway, elevator, enter, person, man, office building, shake, stand, talk, woman"
Like a Flowing River2,"arrest, prisoner, friends",MC-VCR_sample/35.jpg,"person, person, person",MC-VCR_sample/35.json,east-asia,"hug, person, man, stand, woman"
So Young,"dormitory, boyfriend, visit, college, university",MC-VCR_sample/36.jpg,"person, person, bed, person, person, person, person, bowl, person, bottle, bottle",MC-VCR_sample/36.json,east-asia,"closet, doorway, dressing room, girl, person, locker, man, room, selfie, stand, woman"
Apart Together,"wedding, photo, bride, groom, couple",MC-VCR_sample/37.jpg,"person, person, tie",MC-VCR_sample/37.json,east-asia,"backdrop, business suit, couple, curtain, person, man, photo, pose, red, sit, stool, woman, yellow"
Spring Festival,"market, celebration, new year, festival, crowd",MC-VCR_sample/38.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person",MC-VCR_sample/38.json,east-asia,"balloon, catch, crowd, crowded, festival, person"
Spring Festival,"welcome, experience, foreigner, festival, celebration",MC-VCR_sample/39.jpg,"person, person, person, person, person, person, couch, chair, tv, chair, couch, couch",MC-VCR_sample/39.json,east-asia,"armchair, person, living room, man, play, room, stand, television, Wii, woman"
Spring Festival,"dumpling, experience, foreigner, praise, food, party",MC-VCR_sample/40.jpg,"person, person, bottle, tie, couch",MC-VCR_sample/40.json,east-asia,"conversation, table, hand, food, give, person, man, sit, talk, woman"
Wodeboshilaogong,"doctor, clinic, medicine, patient, family, prescript",MC-VCR_sample/41.jpg,"person, person, person, person, potted plant, person",MC-VCR_sample/41.json,east-asia,"cherry blossom, table, dinning table, family, food, person, man, room, sit, tree, woman"
Dahua Hongniang,"couple, boyfriend, self-introduction, match, matchmaker",MC-VCR_sample/42.jpg,"person, person, person, person, person, person, person, wineglass, person, person, person, wineglass, person, person, person, umbrella, person, person, handbag, person",MC-VCR_sample/42.json,east-asia,"business suit, conversation, event, person, man, stand, talk, woman"
A Little Reunion,"school, parents, support, cheer, sports",MC-VCR_sample/43.jpg,"person, person, person, person, person, tie, person, person, person, tie, person, person, person, person, tie, person, person, person, person, person, person, person, tie, person, laptop, umbrella, tie, tie, tie, person, person",MC-VCR_sample/43.json,east-asia,"assembly, catch, cheer, crowd, demonstration, flag, person, leader, placard, red, sign, wave"
I will find you a better home,"breakfast, officer, morning",MC-VCR_sample/44.jpg,"person, person, person, person, person, handbag",MC-VCR_sample/44.json,east-asia,"apron, bulletin board, buy, conversation, doorway, food, food stand, person, man, stand, stool, store, storefront, tray, waiter, woman, writing"
I will find you a better home,"salesman, house, slogan, encourage, staff",MC-VCR_sample/45.jpg,"person, person, person, person, person, person, person, person, person",MC-VCR_sample/45.json,east-asia,"arm, building, business suit, business team, businessman, cheer, hand, person, man, office building, mall, stand, storefront"
I will find you a better home,"funeral, music, sad, mourn, dead, death, countryside",MC-VCR_sample/46.jpg,"person, person, person, person, person, bottle, person, person, person, person, person, chair, person, person, cup, person, person, dining table, person, person, person, person, person, person, handbag, bottle, person, person",MC-VCR_sample/46.json,east-asia,"alley, building, crowd, crowded, gathering, person, instrument, mill, music, play, sing, sit, stone building, stool"
Little Soldier Zhang Ga,"war, japan, soldiers, general",MC-VCR_sample/47.jpg,"person, person, person, person",MC-VCR_sample/47.json,east-asia,"conversation, person, khaki, man, stand, talk, wear"
Little Soldier Zhang Ga,"troop, soldier, win, villager, welcome",MC-VCR_sample/48.jpg,"person, person, person, person, person, person, person, person",MC-VCR_sample/48.json,east-asia,"carry, catch, dirt road, flag, person, man, rural, walk"
Empresses in the Palace,"palace, royalty, servant, concubine, respect, bow",MC-VCR_sample/49.jpg,"person, person, person, person, person, potted plant",MC-VCR_sample/49.json,east-asia,"building, clothing, costume, dress, garment, girl, person, man, robe, stand, temple, traditional, wear, woman"
Love In the Moonlight,"drama, irony, villager, satire",MC-VCR_sample/kor_0.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person",MC-VCR_sample/kor_0.json,east-asia,"crowd, crowded, dance, dress, festival, garment, gathering, person, man, robe"
Love In the Moonlight,"wineglass, noble, tavern, meal",MC-VCR_sample/kor_1.jpg,"person, person, person, cup, bowl, cup, bottle, dining table, tie, bowl",MC-VCR_sample/kor_1.json,east-asia,"couple, table, dress, food, garment, person, hut, man, robe, stand, stool, sun hat, traditional, wear, woman"
Love In the Moonlight,"palace, maid, shock",MC-VCR_sample/kor_2.jpg,"person, person, person, person, bear",MC-VCR_sample/kor_2.json,east-asia,"building, dress, garment, girl, green, student, robe, school uniform, stand, traditional, uniform, wear, woman"
Mr. Sunshine,"colonizer, policeman, family, brave, korea, station",MC-VCR_sample/kor_3.jpg,"person, person, person, person, person, person, person, person, tie",MC-VCR_sample/kor_3.json,east-asia,"costume, dress, dress hat, garment, gun, person, instrument, man, parade, peak, play, rifle, robe, stand, traditional, weapon, wear, woman"
Mr. Sunshine,"handwriting, servant, writing, noble, study, brush",MC-VCR_sample/kor_4.jpg,"person, person, cell phone, potted plant, vase, chair, tie",MC-VCR_sample/kor_4.json,east-asia,"table, floor, person, man, paper, robe, room, sit, stool, woman"
Mr. Sunshine,"kneel, death, desperation",MC-VCR_sample/kor_5.jpg,"person, person, person, person, person, person",MC-VCR_sample/kor_5.json,east-asia,"floor, huddle, person, hut, lay, man, pavement, robe"
Mr. Sunshine,"war, battlefield, korea, japan",MC-VCR_sample/kor_6.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, baseball bat, person",MC-VCR_sample/kor_6.json,east-asia,"army, catch, field, flag, formation, grass, grassy, gun, person, man, rifle, soldier, stand, troop, weapon"
Mom Has an Affair,"school, student, teacher",MC-VCR_sample/kor_7.jpg,"person, person, person, person, person, person, tie, person, tie, person, tie, tie",MC-VCR_sample/kor_7.json,east-asia,"dress, girl, student, school uniform, sing, stand, uniform, wear, woman"
Mom Has an Affair,"check, home, study, mother, textbook, student",MC-VCR_sample/kor_8.jpg,"person, person, chair",MC-VCR_sample/kor_8.json,east-asia,"boy, bulletin board, child, coat, girl, lab coat, room, stand, stool, woman"
Inside Men,"meal, wineglass",MC-VCR_sample/kor_9.jpg,"person, person, bottle, cup, bowl, bottle, dining table, bowl, bottle, bottle, tie, bowl, bowl",MC-VCR_sample/kor_9.json,east-asia,"conversation, couple, table, dinner, dinning table, food, person, man, meal, sit"
Inside Men,"apologize, bow",MC-VCR_sample/kor_10.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, tie, person, person, tie, tie, person, tie",MC-VCR_sample/kor_10.json,east-asia,"building, business suit, businessman, cocktail dress, pillar, courthouse, person, line, man, office building, stair, stand, stone building, suit, tie, wear"
Mr. Sunshine,"exchange, loan, counter, pawn",MC-VCR_sample/kor_11.jpg,"person, person, person, person, person, dining table",MC-VCR_sample/kor_11.json,east-asia,"building, bulletin board, conversation, couple, doorway, dress, food, person, hut, man, scroll, shrine, stand, stool, store, storefront, talk, woman, writing"
Mom Has an Affair,"school, pick up, rainy, isolated, students",MC-VCR_sample/kor_12.jpg,"person, person, umbrella, umbrella, person, person, umbrella, person",MC-VCR_sample/kor_12.json,east-asia,"catch, couple, cross, person, man, pavement, rain, road, street corner, umbrella, walk, woman"
High Kick!,"clinic, doctor, medicine",MC-VCR_sample/kor_13.jpg,"person, person, chair",MC-VCR_sample/kor_13.json,east-asia,"bureau, conversation, table, person, laugh, man, tie, wear, woman"
High Kick!,"students, elder, meal, punish",MC-VCR_sample/kor_14.jpg,"person, person, bowl, person, cup, bowl, cup, cup, pizza, tie, cup, bowl, dining table, bowl, bowl, cup, spoon, bottle, cup, bowl, bowl, person, potted plant, person, person, potted plant, tie, bowl, bowl",MC-VCR_sample/kor_14.json,east-asia,"chopstick, table, dinner, dinning table, eat, family, food, person, man, meal, sit, woman"
High Kick!,"barbecue, elder, respect, share, filial",MC-VCR_sample/kor_15.jpg,"person, person, potted plant, cell phone, cell phone, couch, dining table, couch",MC-VCR_sample/kor_15.json,east-asia,"conversation, couch, interview, laugh, sit, talk, woman"
High Kick!,"school, sports, uniform, principal, punish",MC-VCR_sample/kor_16.jpg,"person, person, person, person, person, person, tie, tie, tv, tie",MC-VCR_sample/kor_16.json,east-asia,"boy, building, business suit, child, man, stand, talk"
High Kick!,"student, classroom, cleaning, after class",MC-VCR_sample/kor_17.jpg,"person, person, person, tie, tie, handbag, person",MC-VCR_sample/kor_17.json,east-asia,"boy, briefcase, business suit, classroom, person, man, stand, stool, suit, tie, wear"
High Kick!,"restaurant, cuisine, chinese, waitress, pay, refuse",MC-VCR_sample/kor_18.jpg,"person, person, person, dining table, pizza, person, bowl, cup, cup, pizza, bowl, bowl, bowl, person, backpack, chair, person, bowl, bowl, person, potted plant, cell phone, bowl",MC-VCR_sample/kor_18.json,east-asia,"table, dinning table, restaurant, food, person, meal, pizza, platter, mall, stand, waiter, woman"
Reply 1988,"aunt, gossip, trim, vegetable, neighbor",MC-VCR_sample/kor_19.jpg,"person, person, person, cake, cup, person, cake, person, dining table",MC-VCR_sample/kor_19.json,east-asia,"bulletin board, table, floor, food, footstall, person, laugh, man, sit, stool, woman"
Reply 1988,"funeral, sad, dead, death, servant",MC-VCR_sample/kor_20.jpg,"person, bottle, person, chair, person, person",MC-VCR_sample/kor_20.json,east-asia,"bend, carpet, ceiling, child, floor, girl, person, living room, man, nun, play, room, stand, stool, woman"
Reply 1988,"neighbor, wineglass, share",MC-VCR_sample/kor_21.jpg,"person, person, potted plant, vase, handbag, baseball glove",MC-VCR_sample/kor_21.json,east-asia,"bin, bottle, jar, catch, clothesline, container, conversation, food, glass jar, honey, laugh, laundry, liquid, stand, talk, woman"
Reply 1988,"wineglass, taste, chat, neighbor, friends",MC-VCR_sample/kor_22.jpg,"person, person, chair, chair, bowl, bottle, cup, chair, chair, bottle, dining table, spoon",MC-VCR_sample/kor_22.json,east-asia,"chandelier, conversation, couple, table, dinning table, food, person, man, sit, stool, woman"
Reply 1988,"friends, play, students, school, break, tired",MC-VCR_sample/kor_23.jpg,"person, person, chair, person, book, person, book, book, chair, person",MC-VCR_sample/kor_23.json,east-asia,"conversation, table, dinning table, food, girl, person, sit, talk, woman"
Reply 1988,"game, lose, relax",MC-VCR_sample/kor_24.jpg,"person, person, person",MC-VCR_sample/kor_24.json,east-asia,"balustrade, bulletin board, person, man, piano, sign, stair, stairwell"
Reply 1988,"dormitory, roommate, study",MC-VCR_sample/kor_25.jpg,"person, person, chair, person, person",MC-VCR_sample/kor_25.json,east-asia,"chair, person, man, room, stand, stool, stretch"
Midnight Diner,"restaurant, customer, eat, japan",MC-VCR_sample/jpn_0.jpg,"person, person, person, person, person, cup, bottle, cup, bottle, cup, cell phone, chair, handbag",MC-VCR_sample/jpn_0.json,east-asia,"chopstick, conversation, table, drink, food, person, man, sit, stool, woman"
Midnight Diner,"cook, customer, food, taste",MC-VCR_sample/jpn_1.jpg,"person, person, person, bottle, cup, bottle, chair",MC-VCR_sample/jpn_1.json,east-asia,"conversation, table, dinning table, eat, food, person, man, share, sit, woman"
Midnight Diner,"water ice, hot, police, enjoy, patrol, peddler",MC-VCR_sample/jpn_2.jpg,"person, person, bicycle, potted plant, potted plant, potted plant, potted plant, potted plant, potted plant, potted plant, potted plant, backpack, potted plant, tie, bicycle",MC-VCR_sample/jpn_2.json,east-asia,"alley, cart, direct, guard, man, officer, police, push, salute, stand"
Midnight Diner,"dead, death, religion, mourn",MC-VCR_sample/jpn_3.jpg,"person, chair, chair, person, chair, chair, laptop, chair, person, chair",MC-VCR_sample/jpn_3.json,east-asia,"lamp, cabinet, ceiling, chair, pillar, table, dinning table, person, man, room, wall lamp, sit, stool"
Sanada Maru,"villager, farm, kneel, emperor",MC-VCR_sample/jpn_4.jpg,"cow, cow, cow, sheep, cow, chair, cow, sheep, bench, person, sheep, cow",MC-VCR_sample/jpn_4.json,east-asia,"animal, floor, hay, person, hut, lay, livestock, man, mud, pen"
Sanada Maru,"festival, dance, celebrate, ritual, drum",MC-VCR_sample/jpn_5.jpg,"person, person, person, person, umbrella, person, umbrella, person, person, person, person, person, person, umbrella, person, umbrella, cell phone",MC-VCR_sample/jpn_5.json,east-asia,"costume, crowded, dance, dress, drummer, festival, garment, hat, person, instrument, parade, play, robe, sun hat, traditional, walk, wear, woman"
Sanada Maru,"scent, smell, friends, perfume",MC-VCR_sample/jpn_6.jpg,"person, person, remote, pizza, bench, handbag",MC-VCR_sample/jpn_6.json,east-asia,"badminton racket, conversation, couple, food, person, man, porch, racket, sit, tennis racket, woman"
Sanada Maru,"servant, sedan chair",MC-VCR_sample/jpn_7.jpg,"person, person, person, person, person, person, person, umbrella, umbrella, person, umbrella, handbag, person, umbrella, umbrella, person, umbrella, person, person, person",MC-VCR_sample/jpn_7.json,east-asia,"crowded, hat, person, man, robe, sun hat, umbrella, walk, wear"
Kyoto Otomeguri,"ritual, music, luck",MC-VCR_sample/jpn_8.jpg,"person, person, person, person, person, handbag, person, handbag, baseball bat, person, person, person",MC-VCR_sample/jpn_8.json,east-asia,"blue, child, dress, garment, person, instrument, man, martial, play, pole, robe, string, swing, swinge, traditional, woman"
Kyoto Otomeguri,"pray, festival, ritual, custom, walk in water, luck",MC-VCR_sample/jpn_9.jpg,"person, person, person, person, person, person, tie, person, handbag, person, person, person, person",MC-VCR_sample/jpn_9.json,east-asia,"candle, catch, child, flood, person, stand, vigil, walk, water"
Nee-chan no koibito,"restaurant, friends, colleague, cook",MC-VCR_sample/jpn_10.jpg,"person, person, person, person, person, person, person, person, person, person, person, tv, cup, book, dining table, cup, book, book, bowl, bottle, book, dining table, dining table",MC-VCR_sample/jpn_10.json,east-asia,"bulletin board, cafe, canteen, coffee shop, crowded, table, restaurant, food, person, sit"
Nee-chan no koibito,"convenience store, beer, fried chicken, coffee",MC-VCR_sample/jpn_11.jpg,"bicycle, person, person",MC-VCR_sample/jpn_11.json,east-asia,"shed, building, business, convenience store, dusk, retail, store, storefront, walk"
Nee-chan no koibito,"school, student, first day, photo",MC-VCR_sample/jpn_12.jpg,"person, person, person, person, person, tie, tie, handbag, handbag, person, handbag",MC-VCR_sample/jpn_12.json,east-asia,"briefcase, building, business suit, person, man, pose, sign, stand, suit, tie, woman, writing"
Nee-chan no koibito,"prison, crime, visit, family, criminal",MC-VCR_sample/jpn_13.jpg,"person, person",MC-VCR_sample/jpn_13.json,east-asia,"badminton, badminton racket, brush, catch, person, man, racket, selfie, stand, stare, tennis racket, woman"
Rental Nan mo Shinai Hito,"barbecue, roast, meat, full, restaurant",MC-VCR_sample/jpn_14.jpg,"person, person, person, cup, cup, dining table, cup, dining table, cup, bowl",MC-VCR_sample/jpn_14.json,east-asia,"conversation, table, dinner, dinning table, plate, restaurant, food, person, man, meal, sit, woman"
Rental Nan mo Shinai Hito,"game, play, relax",MC-VCR_sample/jpn_15.jpg,"person, person, person, chair",MC-VCR_sample/jpn_15.json,east-asia,"arcade, arcade machine, business suit, casino, ceiling, cocktail dress, crowded, game, person, man, play, room, slot machine, stand, suit, tie, video game, walk"
Rental Nan mo Shinai Hito,"bar, customer, cowboy, wineglass, celebrate",MC-VCR_sample/jpn_16.jpg,"person, person, person, person, person, bottle, person, person, person, person, tie, person, person, person",MC-VCR_sample/jpn_16.json,east-asia,"table, dinning table, drink, food, collect, gathering, person, man, party, sing, stand, wine glass, woman"
Rental Nan mo Shinai Hito,"self-introduction, match, boyfriend, girlfriend",MC-VCR_sample/jpn_17.jpg,"person, person, person, person, cup, person, person, wineglass, person, chair, dining table, person, cup, person, cup, person, person, tie, person, person",MC-VCR_sample/jpn_17.json,east-asia,"alcohol, beer, beverage, blue, pillar, conversation, table, dinning table, drink, gathering, person, man, sit, tablecloth, talk, woman"
Rental Nan mo Shinai Hito,"wedding, temple, couple, costume",MC-VCR_sample/jpn_18.jpg,"person, person, person, person, person",MC-VCR_sample/jpn_18.json,east-asia,"building, ceremony, pillar, costume, couple, doorway, dress, garment, hall, person, man, preacher, robe, shrine, stand, temple, traditional, walk, wear, woman"
Rental Nan mo Shinai Hito,"draw lots, luck, future, souvenir",MC-VCR_sample/jpn_19.jpg,"person, backpack, person, book, remote, remote, book, book",MC-VCR_sample/jpn_19.json,east-asia,"building, bulletin board, conversation, man, shop window, stand, store, storefront, talk, window display, writing"
Seventy Uizan,"babysitter, baby, care, family",MC-VCR_sample/jpn_20.jpg,"person, person, person, book",MC-VCR_sample/jpn_20.json,east-asia,"book, family, floor, girl, person, laugh, man, read, woman"
Midnight Diner5,"fortune-telling, shy, hands",MC-VCR_sample/jpn_21.jpg,"person, person",MC-VCR_sample/jpn_21.json,east-asia,"box, lamp, candle, catch, cube, food, person, light, laugh, man, prayer, preacher, woman"
Juhan shuttai,"sports, wrestling, university, team, school, gym, slogan, practice",MC-VCR_sample/jpn_22.jpg,"person, person, person, tie",MC-VCR_sample/jpn_22.json,east-asia,"art, belt, child, girl, gym, person, karate, kick, learn, martial, mat, practice, teach, woman"
